dataset,missing_rate,missing_type,complete_rate,imputer,forecast_model,impute_rmse,impute_mae,impute_r2,impute_kl_divergence,impute_ks_statistic,impute_w2_distance,impute_sliced_kl_divergence,impute_sliced_ks_statistic,impute_sliced_w2_distance,forecast_mse,forecast_mae
exchange_rate,0.9,D-MNAR,0.375,XGBoost,TimeXer,0.3465363039846892,0.21252269924913797,0.879912590020631,0.026866275125039446,0.19708450008235875,2.787469554205534e-15,0.012496709191585957,0.03320046120902654,8.537559831564628e-16,0.0008317696,0.018160027
exchange_rate,0.9,D-MNAR,0.375,XGBoost,iTransformer,0.3465363039846892,0.21252269924913797,0.879912590020631,0.026866275125039446,0.19708450008235875,2.787469554205534e-15,0.012496709191585957,0.03320046120902654,8.537559831564628e-16,0.0008416222,0.018201627
exchange_rate,0.9,D-MNAR,0.375,XGBoost,TimesNet,0.3465363039846892,0.21252269924913797,0.879912590020631,0.026866275125039446,0.19708450008235875,2.787469554205534e-15,0.012496709191585957,0.03320046120902654,8.537559831564628e-16,0.0009351733,0.019247526
exchange_rate,0.4,F-MNAR,0.625,Forward,TimeXer,0.02059963179232302,0.003964100025186651,0.9995756551700207,0.0004948539905050909,0.002223686377861963,5.815364352505937e-20,0.0001401506158013131,0.003867567122385117,1.1255039067257861e-18,0.00081051065,0.018000394
exchange_rate,0.4,F-MNAR,0.625,Forward,iTransformer,0.02059963179232302,0.003964100025186651,0.9995756551700207,0.0004948539905050909,0.002223686377861963,5.815364352505937e-20,0.0001401506158013131,0.003867567122385117,1.1255039067257861e-18,0.00083689095,0.01790695
exchange_rate,0.4,F-MNAR,0.625,Forward,TimesNet,0.02059963179232302,0.003964100025186651,0.9995756551700207,0.0004948539905050909,0.002223686377861963,5.815364352505937e-20,0.0001401506158013131,0.003867567122385117,1.1255039067257861e-18,0.0010015822,0.019881232
exchange_rate,0.2,D-MNAR,0.0,KNN,TimeXer,0.29404915816032734,0.09788189381121798,0.9135350925852028,0.01601291490665173,0.04795338494481964,1.6055240386499973e-16,0.019526262926094017,0.038046450337670894,6.501227565567073e-16,0.000876628,0.018452909
exchange_rate,0.2,D-MNAR,0.0,KNN,iTransformer,0.29404915816032734,0.09788189381121798,0.9135350925852028,0.01601291490665173,0.04795338494481964,1.6055240386499973e-16,0.019526262926094017,0.038046450337670894,6.501227565567073e-16,0.00082033966,0.01794066
exchange_rate,0.2,D-MNAR,0.0,KNN,TimesNet,0.29404915816032734,0.09788189381121798,0.9135350925852028,0.01601291490665173,0.04795338494481964,1.6055240386499973e-16,0.019526262926094017,0.038046450337670894,6.501227565567073e-16,0.0010217186,0.020036932
exchange_rate,0.9,D-MNAR,0.375,KNN,TimeXer,0.48937421564650274,0.2844114832291313,0.7605128770603702,0.058209896392476944,0.1481839894580794,2.755457239742487e-15,0.038832923216996725,0.08578652610772526,7.524433683064576e-16,0.0009540908,0.019616405
exchange_rate,0.9,D-MNAR,0.375,KNN,iTransformer,0.48937421564650274,0.2844114832291313,0.7605128770603702,0.058209896392476944,0.1481839894580794,2.755457239742487e-15,0.038832923216996725,0.08578652610772526,7.524433683064576e-16,0.0008829672,0.018536005
exchange_rate,0.9,D-MNAR,0.375,KNN,TimesNet,0.48937421564650274,0.2844114832291313,0.7605128770603702,0.058209896392476944,0.1481839894580794,2.755457239742487e-15,0.038832923216996725,0.08578652610772526,7.524433683064576e-16,0.0013539357,0.022962539
exchange_rate,0.7,MAR,0.25,KNN,TimeXer,0.8104753894896998,0.4672895088149044,0.3431296430315194,0.10939305720925993,0.24561439631032778,3.004665825594585e-15,0.07600394363646985,0.0989540438148575,1.6630025967650699e-15,0.0009525361,0.019746076
exchange_rate,0.7,MAR,0.25,KNN,iTransformer,0.8104753894896998,0.4672895088149044,0.3431296430315194,0.10939305720925993,0.24561439631032778,3.004665825594585e-15,0.07600394363646985,0.0989540438148575,1.6630025967650699e-15,0.0008838061,0.018665211
exchange_rate,0.7,MAR,0.25,KNN,TimesNet,0.8104753894896998,0.4672895088149044,0.3431296430315194,0.10939305720925993,0.24561439631032778,3.004665825594585e-15,0.07600394363646985,0.0989540438148575,1.6630025967650699e-15,0.0011681997,0.021953592
exchange_rate,0.2,MAR,0.0,Forward,TimeXer,0.02752787916140967,0.006217407395341697,0.9992422158688749,0.00017118182847743237,0.0029855048591665503,7.205204435950695e-20,0.00027165632183488605,0.003923571075605346,9.063955132755712e-18,0.00081571774,0.017992983
exchange_rate,0.2,MAR,0.0,Forward,iTransformer,0.02752787916140967,0.006217407395341697,0.9992422158688749,0.00017118182847743237,0.0029855048591665503,7.205204435950695e-20,0.00027165632183488605,0.003923571075605346,9.063955132755712e-18,0.0008468564,0.01807008
exchange_rate,0.2,MAR,0.0,Forward,TimesNet,0.02752787916140967,0.006217407395341697,0.9992422158688749,0.00017118182847743237,0.0029855048591665503,7.205204435950695e-20,0.00027165632183488605,0.003923571075605346,9.063955132755712e-18,0.001000677,0.019891085
exchange_rate,0.9,F-MNAR,0.875,XGBoost,TimeXer,0.1373626916637435,0.0391172729740405,0.9811314909388913,0.003353249999846615,0.033046450337670896,2.3569206392938886e-16,0.0030794527143371123,0.016209850107066392,9.729054620464352e-17,0.0008137642,0.017915653
exchange_rate,0.9,F-MNAR,0.875,XGBoost,iTransformer,0.1373626916637435,0.0391172729740405,0.9811314909388913,0.003353249999846615,0.033046450337670896,2.3569206392938886e-16,0.0030794527143371123,0.016209850107066392,9.729054620464352e-17,0.0008215947,0.017728059
